Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
FRTB_BASEL_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_BASEL_SA_SBM_BUCKT_NUM,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_BASEL_SA_SBM_ECONMY_RSK_TYP,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_BASEL_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_BASEL_SA_SBM_RISK_WEIGHT,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_BASEL_SA_SBM_SECTR_CODE,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_BASEL_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CA_FD_SUFF_FREQNT_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CA_FUND_BANKING_BOOK,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CA_FUND_UNRTD_EQUITY,Security Master, ,Equity, , , , , , , , ,Character,16
FRTB_CA_SA_75PCT_MAPPNG_TEST,Security Master, , , , , , , ,Index, , ,Character,16
FRTB_CA_SA_CONSTIT_COUNT_TEST,Security Master, , , , , , , ,Index, , ,Character,16
FRTB_CA_SA_DEFAULT_RISK_WEIGHT,Security Master, , ,Muni, , ,Govt,Corp, , ,Mtge,Character,16
FRTB_CA_SA_DRC_LGD,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Real,16
FRTB_CA_SA_DRC_REGN,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,16
FRTB_CA_SA_DRC_SECT_BCKT_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,16
FRTB_CA_SA_INDX_MKT_CAP_TEST,Security Master, , , , , , , ,Index, , ,Character,16
FRTB_CA_SA_INSTR_IS_SENR_FLAG,Security Master, , , , , , , , , ,Mtge,Boolean,16
FRTB_CA_SA_LOOK_THROUGH_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CA_SA_LOOK_THRU_OPT_OUT,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CA_SA_LRGST_10_PCT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CA_SA_LRGST_CONSTIT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CA_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CA_SA_SBM_BUCKT_NUM,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_CA_SA_SBM_ECONMY_RSK_TYP,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_CA_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_CA_SA_SBM_RISK_WEIGHT,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_CA_SA_SBM_SECTR_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_CA_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CN_FD_SUFF_FREQNT_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CN_FUND_BANKING_BOOK,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CN_FUND_UNRTD_EQUITY,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_CN_SA_75PCT_MAPPNG_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_CONSTIT_COUNT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_DEFAULT_RISK_WEIGHT,Security Master, , ,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_CN_SA_DRC_LGD,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Real,12
FRTB_CN_SA_DRC_REGN,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_CN_SA_DRC_SECT_BCKT_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_CN_SA_INDX_MKT_CAP_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_INSTR_IS_SENR_FLAG,Security Master, , , , , , , , , ,Mtge,Boolean,12
FRTB_CN_SA_LOOK_THROUGH_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_LOOK_THRU_OPT_OUT,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_LRGST_10_PCT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_LRGST_CONSTIT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_CN_SA_SBM_BUCKT_NUM,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_CN_SA_SBM_ECONMY_RSK_TYP,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_CN_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_CN_SA_SBM_RISK_WEIGHT,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_CN_SA_SBM_SECTR_CODE,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_CN_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_DAILY_FUND_PRCNG_AVAIL_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_EU_FD_SUFFCINT_FREQNT_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_EU_FUND_BANKING_BOOK,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_EU_SA_75PCT_MAPPNG_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_CONSTTUNT_COUNT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_DEFLT_RISK_WEIGHT,Security Master, , ,Muni, , ,Govt,Corp, , ,Mtge,Character,12
FRTB_EU_SA_DRC_LGD,Security Master, ,Equity,Muni, , ,Govt,Corp, , ,Mtge,Character,12
FRTB_EU_SA_DRC_REGN,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_EU_SA_DRC_SECTR_BUCKT_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_EU_SA_INDX_MARKT_CAP_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_INSTRMNT_IS_SENR_FLAG,Security Master, , , , , , , , , ,Mtge,Character,12
FRTB_EU_SA_LARGEST_10_PCT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_LARGEST_CONSTIT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_LOOK_THROUGH_OPT_OUT,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_LOOK_THROUGH_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_EU_SA_SBM_BUCKT_NUM,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_EU_SA_SBM_ECONMY_RISK_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_EU_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_EU_SA_SBM_RISK_WEIGHT,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_EU_SA_SBM_SECTR_CODE,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_EU_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_EU_TREAT_FUND_UNRTD_EQTY,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_FUND_BENCHMARK_TICKER,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_FUND_BENCHMRK_INFO_AVAIL,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_FUND_BENCHMRK_INFO_SOURCE,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_FUND_MANDATE_AVAIL_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_JP_FD_SUFF_FREQNT_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_JP_FUND_BANKING_BOOK,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_JP_FUND_UNRTD_EQUITY,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_JP_SA_75PCT_MAPPNG_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_CONSTIT_COUNT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_DEFAULT_RISK_WEIGHT,Security Master, , ,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_JP_SA_DRC_LGD,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Real,12
FRTB_JP_SA_DRC_REGN,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_JP_SA_DRC_SECT_BCKT_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_JP_SA_INDX_MKT_CAP_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_INSTR_IS_SENR_FLAG,Security Master, , , , , , , , , ,Mtge,Boolean,12
FRTB_JP_SA_LOOK_THROUGH_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_LOOK_THRU_OPT_OUT,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_LRGST_10_PCT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_LRGST_CONSTIT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_JP_SA_SBM_BUCKT_NUM,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_JP_SA_SBM_ECONMY_RSK_TYP,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_JP_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_JP_SA_SBM_RISK_WEIGHT,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_JP_SA_SBM_SECTR_CODE,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_JP_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_RFET_DATE_OF_UPDATE,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_DATES_W_OBSERVATIONS,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Bulk Format,12
FRTB_RFET_DAYS_SINCE_LAST_OBSERV,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_DAYS_SINCE_LAST_QUOTE,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_DAYS_SINCE_LAST_TRADE,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_FIRST_OBSERVATION_DATE,Security Master, , , , , ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_FIRST_QUOTE_DATE,Security Master, , , , , ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_FIRST_TRADE_DATE,Security Master, , , , , ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_INSTR_RSK_FACTR_FLAG,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Character,12
FRTB_RFET_MAX_GAP_BETW_ANY_OBS,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_MAX_GAP_BETW_QUOTES,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_MAX_GAP_BETW_TRADES,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_MAX_GAP_START_DATE_OBS,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_MAX_GAP_START_DATE_QTS,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_MAX_GAP_START_DATE_TRD,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Date,12
FRTB_RFET_NUM_DAYS_TO_1ST_OBS,Security Master, , , , , ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_NUM_DAYS_TO_1ST_QUOTE,Security Master, , , , , ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_NUM_DAYS_TO_1ST_TRADE,Security Master, , , , , ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_PAST_YEAR_DAYS_QUOTES,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_PAST_YEAR_DAYS_TRADES,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_PAST_YR_ANY_OBS_COUNT,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_PY_MIN_OBS_IN_90,Security Master, , , , , ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_PY_MIN_QTS_IN_90,Security Master, , , , , ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_PY_MIN_TRD_IN_90,Security Master, , , , , ,Govt,Corp,Index, , ,Integer,12
FRTB_RFET_RESULT_TRADES_ONLY,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Boolean,12
FRTB_RFET_RESULT_TRDS_AND_QTES,Security Master, , , ,Pfd, ,Govt,Corp,Index, , ,Boolean,12
FRTB_RFET_RF_CONSTITUENT_COUNT,Security Master, , , , , , , ,Index, , ,Integer,12
FRTB_RFET_RSK_FACTR_CONSTITUENTS,Security Master, , , , , , , ,Index, , ,Bulk Format,12
FRTB_SA_INSTRMNT_TYPE,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_SA_RISK_CLASS,Security Master,Comdty,Equity,Muni, , ,Govt,Corp,Index, ,Mtge,Character,12
FRTB_UK_FD_SUFF_FREQNT_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_UK_FUND_BANKING_BOOK,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_UK_FUND_UNRTD_EQUITY,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_UK_SA_75PCT_MAPPNG_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_CONSTIT_COUNT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_DEFAULT_RISK_WEIGHT,Security Master, , ,Muni, , ,Govt,Corp, , ,Mtge,Character,12
FRTB_UK_SA_DRC_LGD,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Real,12
FRTB_UK_SA_DRC_REGN,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_UK_SA_DRC_SECT_BCKT_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_UK_SA_INDX_MKT_CAP_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_INSTR_IS_SENR_FLAG,Security Master, , , , , , , , , ,Mtge,Boolean,12
FRTB_UK_SA_LOOK_THROUGH_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_LOOK_THRU_OPT_OUT,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_LRGST_10_PCT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_LRGST_CONSTIT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_UK_SA_SBM_BUCKT_NUM,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_UK_SA_SBM_ECONMY_RSK_TYP,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_UK_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_UK_SA_SBM_RISK_WEIGHT,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_UK_SA_SBM_SECTR_CODE,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_UK_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_UNDRLYNG_OF_INSTRMNT,Security Master,Comdty,Equity,Muni, , ,Govt,Corp, , ,Mtge,Character,12
FRTB_US_FD_SUFF_FREQNT_TEST,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_US_FUND_BANKING_BOOK,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_US_FUND_UNRTD_EQUITY,Security Master, ,Equity, , , , , , , , ,Character,12
FRTB_US_SA_75PCT_MAPPNG_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_CONSTIT_COUNT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_DEFAULT_RISK_WEIGHT,Security Master, , ,Muni, , ,Govt,Corp, , ,Mtge,Real,12
FRTB_US_SA_DRC_LGD,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Real,12
FRTB_US_SA_DRC_REGN,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,16
FRTB_US_SA_DRC_SECT_BCKT_CODE,Security Master, ,Equity,Muni,Pfd, ,Govt,Corp, , ,Mtge,Character,12
FRTB_US_SA_INDX_MKT_CAP_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_INSTR_IS_SENR_FLAG,Security Master, , , , , , , , , ,Mtge,Boolean,12
FRTB_US_SA_LOOK_THROUGH_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_LOOK_THRU_OPT_OUT,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_LRGST_10_PCT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_LRGST_CONSTIT_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_RECOGNZD_INDX_TEST,Security Master, , , , , , , ,Index, , ,Character,12
FRTB_US_SA_SBM_BUCKT_NUM,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_US_SA_SBM_ECONMY_RSK_TYP,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_US_SA_SBM_MARKT_CAP_TYPE,Security Master, ,Equity, , , , , ,Index, , ,Character,12
FRTB_US_SA_SBM_RISK_WEIGHT,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Real,12
FRTB_US_SA_SBM_SECTR_CODE,Security Master,Comdty,Equity,Muni,Pfd, ,Govt,Corp,Index,Curncy,Mtge,Character,12
FRTB_US_TREAT_FUND_INDEX,Security Master, ,Equity, , , , , , , , ,Character,12
FUEL_AND_PURCHASED_PWR_CST_RATIO,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_CONS_LNDLD_SVC_COM_AREA,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_CONS_SUB_METRD_TENNTS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_CONSUMED_TOTAL_FLD_SCR,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_CONSUMPTION_PER_RPM,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_COST_EXCLUDING_HEDGE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_COST_PER_AVAIL_SEAT_MILE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_EXPENSES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_GALLONS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_GALLONS_CONSUMED_PER_GTM,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_GALLONS_LITRES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_CURRENT_YR_QTR_1,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_CURRENT_YR_QTR_2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_CURRENT_YR_QTR_3,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_CURRENT_YR_QTR_4,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_NEXT_YR_QTR_1,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_NEXT_YR_QTR_2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_NEXT_YR_QTR_3,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_%_NEXT_YR_QTR_4,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_EXPENSE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PERCENT_YR1,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PERCENT_YR2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_CURRENT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_NEXT_YEAR_QTR_1,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_NEXT_YEAR_QTR_2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_NEXT_YEAR_QTR_3,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_NEXT_YEAR_QTR_4,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_YEAR_1,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PRICE_YEAR_2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PX_CURRENT_YR_QTR_1,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PX_CURRENT_YR_QTR_2,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PX_CURRENT_YR_QTR_3,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_HEDGE_PX_CURRENT_YR_QTR_4,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_LITRES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_PCT_OF_OP_EXP,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_PER_KWH,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_PRICE_PER_GALLON,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_PRICE_PER_GALLON_LITRE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUEL_PRICE_PER_LITRE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUGITIVE_EMISSIONS,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FUGITIVE_EMISSIONS_FLD_SCR,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
FULL_EXCHANGE_CODE_CLOSE,End of Day Pricing,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Character,12
FULL_EXCHANGE_CODE_HIGH,End of Day Pricing,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Character,12
FULL_EXCHANGE_CODE_LOW,End of Day Pricing,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Character,12
FULL_EXCHANGE_CODE_OPEN,End of Day Pricing,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Character,12
FULL_FUND_AVAIL,Security Master, ,Equity, , , , , , , , ,Boolean,12
FULL_IO_LOANS_AMOUNT,Security Master, , , , , , , , , ,Mtge,Real,12
FULL_IO_LOANS_COUNT,Security Master, , , , , , , , , ,Mtge,Integer,12
FULL_LIQUIDATION_LOANS_AMOUNT,Security Master, , , , , , , , , ,Mtge,Real,16
FULL_LIQUIDATION_LOANS_COUNT,Security Master, , , , , , , , , ,Mtge,Integer,16
FULL_REPO_PX_ASK,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Price,12
FULL_REPO_PX_BID,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Price,12
FULL_REPO_PX_MID,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Price,12
FULLY_ALLOCATED_INDICATOR,Security Master, , , , , , ,Corp, , , ,Boolean,12
FULLY_AMORT_LOANS_AMOUNT,Security Master, , , , , , , , , ,Mtge,Real,12
FULLY_AMORT_LOANS_COUNT,Security Master, , , , , , , , , ,Mtge,Integer,12
FULLY_COVERED,Security Master, ,Equity, , , , , , , , ,Boolean,12
FULLY_DEFEASED,Security Master, , , , , , , , , ,Mtge,Boolean,12
FULLY_PREPAY_AT_OPEN,Derived Data, , , , , , , , , ,Mtge,Character,12
FUND_12B_FEE,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ACTUAL_TOTAL_FEE,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ADMIN_EXP,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ADMIN_LONG,Security Master, ,Equity, , , , , , , , ,Long Character,12
FUND_AMF_DATE,Security Master, ,Equity, , , , , , , , ,Date,12
FUND_ARBEIT,Security Master, ,Equity, , , , , , , , ,Boolean,12
FUND_ASSET_ALLOC_CALC,Security Master, ,Equity, , , , , , , , ,Bulk Format,12
FUND_ASSET_ALLOC_CASH_OTHER,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ASSET_ALLOC_CORP,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ASSET_ALLOC_EQUITY,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ASSET_ALLOC_GOVT,Security Master, ,Equity, , , , , , , , ,Real,12
FUND_ASSET_ALLOC_MTGE,Security Master, ,Equity, , , , , , , , ,Real,12
