Field Mnemonic,Data License Category,Comdty,Equity,Muni,Pfd,M-Mkt,Govt,Corp,Index,Curncy,Mtge,Field Type,Width
1YR_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,0
1YR_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,4
1YR_ORGANIC_F&D_COSTS_BOE,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,6
2_YEAR_KEY_RATE_SOVEREIGN_CURVE,Derived Data, , , , , , , ,Index, , ,Real,10
2_YEAR_KEY_RATE_SWAP_CURVE,Derived Data, , , , , , , ,Index, , ,Real,15
2_YEAR_STACKED_SAME_STORE_SALES,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,15
20_DAY_AVERAGE_TURNOVER_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,15
20_DAY_AVERAGE_VOLUME_AT_TIME,Derived Data, ,Equity, , , , , , , , ,Real,15
20_YEAR_KEY_RATE_SOVEREIGN_CURVE,Derived Data, , , , , , , ,Index, , ,Real,15
20_YEAR_KEY_RATE_SWAP_CURVE,Derived Data, , , , , , , ,Index, , ,Real,15
2030_RENEW_SHARE_TARGET_CTRY_RSK,Security Master, ,Equity, , , ,Govt,Corp, , , ,Real,15
24HR_CLEAN_PRICE,End of Day Pricing, , , , , ,Govt,Corp, , , ,Price,15
24HR_DIRTY_PRICE,End of Day Pricing, , , , , ,Govt,Corp, , , ,Price,12
2C_CONTINGENT_RSRVS_TOTAL_WW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
2M_ASK_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,12
2M_ASK_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,12
2M_BID_SPRD_TO_BNCH_ABSOLUTE_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,12
2M_BID_SPRD_TO_BNCH_PCT_CHG,Derived Data, , , ,Pfd, ,Govt,Corp, , , ,Real,12
2MO_FWD_SHIPPING_RT,End of Day Pricing, , , , , , , ,Index, , ,Price,12
2MO_FWD_SHIPPING_RT_DT,End of Day Pricing, , , , , , , ,Index, , ,Date,12
2ND_HI_ALL_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,0
2ND_HI_NON_EQ_INCNTV_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,0
2ND_HI_NON_EQTY_INCENTIVE_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
2ND_HI_PEN_N_QUA_DEF_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,0
2ND_HI_PENS_NON_QUAL_DEF_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
2ND_HIGHEST_ALL_OTH_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
2ND_HIGHEST_BONUS_AMOUNT_PAID,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
2ND_HIGHEST_BONUS_PAID_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,0
2ND_HIGHEST_OPT_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,15
2ND_HIGHEST_OPTION_AWARDS_AMT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
2ND_HIGHEST_OTH_COMP_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,12
2ND_HIGHEST_OTHER_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,5
2ND_HIGHEST_SALARY_AMT_PAID,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,12
2ND_HIGHEST_SALARY_PAID_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,5
2ND_HIGHEST_STK_AW_EXEC_TTL,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Character,12
2ND_HIGHEST_STK_AWARDS_AMT,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,5
2ND_HIGHEST_TOT_COMP_AMT_AW,Security Master, ,Equity, ,Pfd, , ,Corp, , , ,Real,0
